Title,Artists,Quality,Transpose,Link,,,,,
Crazy She Calls Me,Carl Sigman,★★★★,,https://www.scribd.com/read/269679525/Jazz-Ballads-Jazz-Piano-Solos-Series-Volume-10,,,,,
Creep,Radiohead,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24567/Product.aspx,,,,,
Cryin',Aerosmith,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16352/Product.aspx,,,,,
Dance the Night (Barbie),Dua Lipa,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1334924/Product.aspx,,,,,
Dance With Me,Orleans,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/67174/Product.aspx,,,,,
Dancing in the Moonlight,King Harvest,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/160679/Product.aspx,,,,,
Dancing Queen,ABBA,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30409/Product.aspx,,,,,
Dancing with a Stranger,"Normani, Sam Smith",★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/408463/Product.aspx,,,,,
Dear Hearts and Gentle People,Bob Crosby & The Bob Cats,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/97037/Product.aspx,,,,,
Desperado,The Eagles,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92027/Product.aspx,,,,,
Do You Realize,The Flaming Lips,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/153478/Product.aspx,,,,,
Doing All Right,Queen,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403442/Product.aspx,,,,,
Don't Let the Sun Go Down on Me,"Elton John, George Michael",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18072/Product.aspx,,,,,
Don't Look Back in Anger,Oasis,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/13648/Product.aspx,,,,,
Don't Stop Believin',Journey,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/75782/Product.aspx,,,,,
Doubt,Delphic,★★,,https://musescore.com/user/39593079/scores/15396124,,,,,
